Year,CroppingSyst_code,Act_Transp_mm,Baseflow,CropSyst_Pot_Transp_mm,Crop_Canopy_E_mm,Crop_code,ET_mm,PPT,Runoff,Soil_E_mm,VIC_PET_shortgrass_mm,Yield_kg_m2,irrig_evap_mm,irrig_netdemand_mm,irrig_runoff_mm,irrig_total_mm,water_stress_index
1980,4005,396.27827506411944,166.4479645057011,466.60383775100007,0,63220,654.7473569966999,876.0999999999991,208.79819053149996,251.48919907431787,857.3268188,0.6356595,6.979881000000001,177.07526000000001,66.26988,239.45269000000002,0
1981,4005,395.5942240165694,175.4071750355279,464.9908943549999,0,61912,638.7244632728042,957.725,247.57071810650004,239.68423050788437,890.5582559199995,0.6588046,3.446011,61.651819999999994,20.27946,83.3696,0
1982,4005,405.72440877299755,183.3989329350001,472.96396690200044,0,61694,644.7255265865244,904.4499999999997,222.16200125965,229.6644844400201,866.4296923799999,0.6417753,9.336631,178.05781000000002,69.94081,240.78136,0
1983,4005,403.2946661525779,147.26704230076606,461.29733444599987,0,60604,621.4509811799288,854.1250000000001,202.8522136049999,213.42133887878455,885.5235578139997,0.6449529,4.734981,116.67468,45.28638,157.77509,0
1984,4005,414.79952823886356,155.13681451800002,483.422155778,0,63002,628.3661351724702,839.3500000000004,225.56058008929995,204.51387546974235,859.4985553699995,0.6841916,9.052731,174.22683999999998,62.036339999999996,235.60087,0
1985,4005,474.28432740580587,97.89732154259451,559.6033839069999,0,62348,722.4953175019727,525.5,85.80318486500003,229.36655110794348,943.6616754000004,0.6577348000000001,18.8444346,353.4397,136.54429000000002,477.94414,0
1986,4005,402.02332206199173,79.4027379638102,460.608740076,0,61258,636.9051896706875,684.1499999999992,167.62796144200001,221.3607890234589,944.0329055000007,0.5939493,13.521073000000001,234.58996000000002,89.97391,317.22781,0
1987,4005,393.79592353126503,69.15817467211177,447.8490158650001,0,59514,603.1113052714628,456.62499999999983,100.4829621621,196.91387785742197,981.1574740400005,0.5806904,12.401501000000001,296.62782,113.24382,401.11945000000003,0
1988,4005,417.8501602541025,59.09940211198952,480.4056507070002,0,61258,603.5566880935665,632.5249999999996,146.42433890490005,174.57043274217017,968.9465357999989,0.679179,11.136092,236.12143,87.85125,319.29873,0
1989,4005,374.1295400586248,191.99150054597536,448.8593861000001,0,59950,577.4466283719868,640.6499999999999,157.37424718710002,195.593346146273,918.2486638900002,0.5886398,7.723742999999999,178.93979,66.16219,241.97401000000002,0
1990,4005,394.3513422792354,3.3668202250000037e-07,469.60877314529995,0,60168,633.8446256239735,536.3250000000005,103.09396939311007,230.5327359831528,972.1384196,0.6296178000000001,8.960552999999999,177.2625,67.39519,239.70587999999998,0
1991,4005,409.5334555379983,2.0889521631000007e-06,466.9178414700003,0,61476,578.6979107547403,797.2749999999997,179.4083424781,167.00228004211928,903.7241803000004,0.6853233,2.162178,57.57526,18.727120000000003,77.85701,0
1992,4005,382.1266836579027,64.72833990887,442.309288139,0,58206,626.6796620717532,591.3499999999997,129.85825514629997,235.50434747369124,931.6647095000002,0.5727837,9.048628,178.49869,70.49214,241.37754999999999,0
1993,4005,364.63881528179667,81.54922947144792,408.504081288,0,61912,592.4065330465943,708.075,157.56535336899995,221.83222182303103,834.8380846800006,0.553615,5.9354960000000005,119.71237,41.9208,161.88287,0
1994,4005,387.91083782455695,63.57375072957557,448.62185230709974,0,59732,604.5560158625989,603.5500000000001,144.49528402480004,201.9066463621923,970.5629966799995,0.5981751999999999,14.738527000000001,296.57445,111.57089,401.04726,0
1995,4005,390.01971080268055,136.92304530300004,453.99078472818996,0,60822,617.7329222995961,772.875,194.92228275599996,224.59505227016584,891.5334391981002,0.6276232,3.118148,58.19999,20.32414,78.70181,0
1996,4005,428.998024473884,57.719497950751474,501.7948978549997,0,61694,626.0927542812351,699.5999999999999,155.21434582500004,186.91786255822836,956.2158059100008,0.6934585999999999,10.176867999999999,234.93032,92.03107,317.68807,0
1997,4005,426.5234299423813,117.6193290324479,491.729118433,0,61258,629.6477101658402,488.4249999999996,110.52094641600007,188.73569902027924,957.48280112,0.6634445999999999,14.388587,295.06949,110.49744,399.01215,0
1998,4005,438.90490860959363,29.17999480716451,503.78606852700005,0,60386,638.0219643891809,533.9249999999998,119.96665762999994,182.86734356372116,983.2368255599997,0.7196224,16.249714,291.9216,109.5605,394.75537,0
