Year,CroppingSyst_code,Crop_code,Act_Transp_mm,Baseflow,CropSyst_Pot_Transp_mm,Crop_Canopy_E_mm,ET_mm,PPT,Runoff,Soil_E_mm,VIC_PET_shortgrass_mm,Yield_kg_m2,irrig_evap_mm,irrig_netdemand_mm,irrig_runoff_mm,irrig_total_mm,water_stress_index
1980,4004,1827,507.1326286099999,5.048444939999995e-11,527.52996791,0,618.8526758069999,82.32499999999997,10.414371614000004,89.63152049017,725.4899139999999,1.2545899999999999,22.08851399999999,435.4516300000001,16.191069600000002,588.8460100000001,0
1981,4004,1827,517.7501300957236,5.015662829999995e-11,526.4566435299998,0,622.9941276699996,86.45000000000003,12.792071181999999,83.98661556100002,735.0777739999999,1.240494,21.2573871,413.88163000000003,15.3544075,559.67768,0
1982,4004,1827,490.5575664113883,5.015662829999995e-11,501.85158186999985,0,577.2158554355691,49.275,5.767895706000002,65.330912042701,759.4139910000006,1.13933,21.327373100000003,403.66272999999995,14.989170400000004,545.8590100000001,0
1983,4004,1827,500.5988976991799,5.015662829999995e-11,507.75892760999994,0,594.21359746,90.625,14.535749938000002,75.84483172890825,710.3019009999997,1.237832,17.7698674,391.64718,14.617490900000002,529.61073,0
1984,4004,1827,454.6683031370717,0.737261670049833,465.0307486999999,0,590.3565525399998,77.8,10.229905930000001,114.33411651301601,718.9870970000003,1.0684209999999998,21.3541321,398.81699,14.823207100000001,539.30628,0
1985,4004,1827,573.6220681221727,5.015662829999995e-11,585.1357958300002,0,674.1278614981528,53.425000000000004,5.730117675000001,71.47866073761179,816.0095770000001,1.3272030000000001,29.0271277,491.28354000000013,18.1610539,664.34557,0
1986,4004,1827,563.2334806470735,5.015662829999995e-11,571.0280648399998,0,664.1781222024998,38.35000000000001,5.977887003,74.41801322172519,792.2856910000003,1.304681,26.526622400000004,465.72002,17.199906600000002,629.77694,0
1987,4004,1827,595.3295388608599,5.015662829999995e-11,612.57367928,0,697.5366165600003,32.175000000000004,3.899593014,72.90836856624493,797.039908,1.4075010000000001,29.298712300000002,530.2825099999999,19.676217899999997,717.0825299999999,0
1988,4004,1827,519.0298440044834,5.048444939999995e-11,532.24739653,0,644.6738916099997,83.95000000000002,14.763638159000001,102.06488437490002,753.7315309999998,1.208861,23.579164199999997,435.84147,16.1654809,589.3732100000001,0
1989,4004,1827,553.7750125349997,5.015662829999995e-11,565.1545916399998,0,672.4131032599998,75.825,10.476304932000001,91.45295480729999,759.6495349999999,1.339854,27.1851313,474.9675199999999,17.5846916,642.2819700000001,0
1990,4004,1827,556.9649676567124,5.015662829999995e-11,565.1056547899998,0,691.6388314350004,79.725,11.7343324,107.46193145051254,790.7832580000004,1.273196,27.211930400000007,474.44254,17.547609599999998,641.5720100000001,0
1991,4004,1827,468.40179759295046,5.015662829999995e-11,476.3778446699999,0,630.65637494,99.10000000000002,14.626873907999999,141.30082209646673,726.1050009999999,1.0933950000000001,20.953754599999996,439.9676559999999,16.5187009,594.95284,0
1992,4004,1827,553.4340729485612,5.048444939999995e-11,565.8208856900001,0,665.4129931800001,54.62499999999999,7.235294838,87.29465252789639,777.8644939999995,1.2647329999999999,24.684268399999997,457.46778000000006,16.988292299999998,618.6177399999999,0
1993,4004,1827,519.3404143324168,5.015662829999995e-11,522.4557360400003,0,613.4927422000003,90.775,12.818635372999998,75.54156676648871,700.3805500000002,1.293959,18.610760900000002,414.84043999999983,15.466479,560.9742600000001,0
1994,4004,1827,579.0880157999999,5.015662829999995e-11,585.6161857899999,0,686.4712130699999,95.65,14.987718108000001,83.20559434379398,774.577,1.345811,24.1776053,461.20596,17.139998300000002,623.6726799999999,0
1995,4004,1827,504.8449856437563,5.015662829999995e-11,511.30751099000025,0,624.9342343000002,97.94999999999999,15.496919851000005,100.42329724135061,710.2777589999993,1.193526,19.665957,411.07591,15.3175442,555.8835799999998,0
1996,4004,1827,475.9036402334629,14.313854000044364,485.63597722000014,0,622.1704437525627,83.225,11.366325672999995,123.62204592433407,732.304511,1.112407,22.644762499999995,453.851212,16.9254195,613.72716,0
1997,4004,1827,558.821790875007,1.3651045675987104,561.8775422399999,0,665.1153294000004,69.42499999999998,11.696073609000003,81.64948356834022,756.4286519999998,1.321409,24.6440523,454.87651,16.8534492,615.11362,0
1998,4004,1827,544.9383153647592,2.0091288899999995,553.2075014599999,0,658.6109202000001,57.975,10.150334554999999,88.52758688142569,788.8644950000001,1.215274,25.145020999999996,460.26293000000004,17.0835973,622.39743,0
1999,4004,1827,522.4222657294044,1.003818804,531.7524058399998,0,622.3124216854598,36.32499999999999,5.618147223,73.86745390998358,815.5212879999997,1.227867,26.022700000000007,461.2335700000001,17.096377500000006,623.71005,0
2000,4004,1827,567.4226936645449,3.5418985210000007,579.94022782,0,676.0104684900003,66.37500000000001,11.749701279000002,81.05688281935434,776.7807789999999,1.335134,27.5308921,464.5563199999999,17.141068100000002,628.2032600000001,0
2001,4004,1827,542.0535885739181,2.0735938299999996,551.7686488999999,0,657.5473394800003,56.70000000000001,8.952747234000002,91.39930551341646,762.2813710000003,1.261926,24.094442800000003,466.44624000000005,17.3903205,630.7589300000002,0
2002,4004,1827,537.6338376947481,1.017984193,549.1518293,0,659.9042709075824,49.99999999999999,8.5487698,93.33358844961025,808.0481740000005,1.217783,28.936841900000005,483.93103,17.908166299999998,654.40298,0
2003,4004,1827,565.7945647969595,4.393005147000002,570.3910529200001,0,689.8958705660003,52.574999999999996,9.982115008700001,95.11833315822665,805.9712390000004,1.258605,28.982976300000004,502.99276,18.676327,680.1794400000001,0
2004,4004,1827,511.2539230694295,12.79853943,516.95837434,0,632.8186482000002,123.29999999999998,23.449606308,99.45391008114655,726.1374569999997,1.167546,22.110810200000007,407.68223,15.115652,551.29443,0
2005,4004,1827,564.447187938,2.0548898300000005,571.03913978,0,694.0199107599999,73.55,12.369905771,102.38231286881755,775.8140550000003,1.2760209999999998,27.190414799999992,500.15888000000007,18.5618633,676.3473399999999,0
2006,4004,1827,545.1260335263692,9.631343459999995,551.1366557899998,0,659.3982902173422,66.62499999999999,12.84645456,90.11619284243544,771.8806390000004,1.220999,24.156064399999998,453.43451000000005,16.830901200000003,613.1636500000001,0
2007,4004,1827,578.6239419952044,1.9985497900000004,586.0744423700005,0,680.6601948100001,54.075,9.282914273000001,75.13598010687608,809.8869650000001,1.332771,26.900265700000006,469.0018099999999,17.329489,634.2148199999998,0
2008,4004,1827,514.1546582227594,1.0092101489999998,528.3965430300001,0,624.4161093714695,63.55,10.504428682000002,85.990522683782,780.980885,1.20376,24.2709359,456.05744999999996,16.9239516,616.7105499999999,0
2009,4004,1827,548.9540937604849,7.517834926999997,554.5720488200003,0,662.929570613957,76.025,15.506272153000005,88.32645043896508,775.4719380000005,1.220377,25.6490188,451.11762999999985,16.683611799999998,610.0305799999999,0
2010,4004,1827,474.29962256473925,2.054714809999999,484.16200909999986,0,637.0193364299998,169.14999999999995,31.032124948,143.08316918799997,694.4175530000001,1.103258,19.6365452,386.27311999999995,14.3229202,522.3436299999998,0
2011,4004,1827,447.1001124942472,10.15314248,452.4014182299999,0,597.426369894,125.14999999999998,27.106706773000006,131.63160289037992,695.985283,1.033613,18.6946461,362.1793,13.455806599999999,489.76246,0
2012,4004,1827,510.70359452099217,2.1038211600000007,525.7076038999999,0,651.5380497999997,115.25000000000001,20.386002449999996,118.41494705295233,733.6436950000001,1.178117,22.4195048,457.872061,17.115548200000003,619.1643740000001,0
2013,4004,1827,549.6017134375412,1.0273647199999996,557.3004040600001,0,663.1921872148199,107.64999999999999,17.7693707512,88.66603877794759,780.3131810000002,1.211187,24.92443010000001,422.55429999999996,15.6449314,571.4054299999999,0
2014,4004,1827,557.7787865174504,1.481912366,565.5848814299999,0,689.0708948799999,83.72500000000001,13.328667219999998,103.82719195170395,792.39297,1.226623,27.4649269,483.1922329999999,17.955152300000005,653.404,0
2015,4004,1827,593.9146766517063,0.9948281359999998,603.3756837599996,0,713.3553000800002,52.57500000000001,8.848106885999998,88.28099458149308,856.266159,1.2573159999999999,31.159638400000002,502.89081,18.561947999999997,680.0416700000001,0
