Year,CroppingSyst_code,Crop_code,Act_Transp_mm,Baseflow,CropSyst_Pot_Transp_mm,Crop_Canopy_E_mm,ET_mm,PPT,Runoff,Soil_E_mm,VIC_PET_shortgrass_mm,Yield_kg_m2,irrig_evap_mm,irrig_netdemand_mm,irrig_runoff_mm,irrig_total_mm,water_stress_index
1997,4005,218,426.5234299423813,117.61932895496525,491.729118433,0,521.1542651658405,445.7249999999998,100.80478978000004,80.24225402027913,597.5298491200001,0.6634445999999999,14.388587,295.06949,110.49744,399.01215,0
1998,4005,218,438.90490860959363,29.179994725991907,503.78606852700005,0,531.5835011891809,495.5999999999998,111.42056020100001,76.42888036372119,599.5618385599996,0.7196224,16.249714,291.9216,109.5605,394.75537,0
1999,4005,218,488.8495603258162,56.964886403922826,565.799164906,0,576.9824430812074,370.7,79.53160890799997,71.82141194710465,653.5881948000005,0.8079691,16.311476000000003,298.46579,115.83867000000001,403.60486000000003,0
2000,4005,218,420.25516308149065,128.6109374515913,482.4083927420001,0,496.8153718525072,537.8749999999997,109.06715404300002,64.87354101728305,561.86343056,0.6690431,11.686677,234.62058000000002,89.92391,317.26921999999996,0
2001,4005,218,474.24596393432495,2.656559519999992e-07,537.3848632350002,0,598.1285314618956,382.0249999999998,78.3167118515,99.456172467916,668.4021749600004,0.6865306999999999,24.4264,462.46066,176.83499,625.36942,0
2002,4005,218,460.7049877491118,0.3965284362961474,543.6856485320002,0,555.9804300662829,348.5750000000001,77.34658599311699,82.22118926045005,650.4147622899997,0.7210919,13.054252,296.02835,114.99635,400.3088,0
2003,4005,218,413.3615893451819,37.61942073900005,488.42891152000004,0,503.3668976283958,453.92499999999995,110.67390125399999,76.44827478717247,596.9992763500004,0.6483241999999999,13.557048000000002,236.00626,89.26829,319.14300000000003,0
2004,4005,218,405.2664247528766,4.672620815999996,472.90875922199984,0,500.02213887450085,468.7749999999999,99.48549643990005,85.98727301720683,588.4735161399998,0.6364941999999999,8.768442,175.29715000000002,65.96947,237.04820999999998,0
2005,4005,218,420.2514704256167,0.6182741609999999,484.242145582,0,518.9397515151438,362.6000000000001,70.43027527599997,82.93058231869718,591.9070106499996,0.6817243000000001,15.757697,405.84608,156.08081,548.81147,0
2006,4005,218,399.2273887546011,78.12750088100003,470.71957880199994,0,498.6241935826842,587.4999999999999,152.86509401010002,90.16467283617276,585.8395631900003,0.6297134,9.232141,178.88822,66.28849,241.90429,0
2007,4005,218,462.78269783254484,34.59450052838068,546.1961854959999,0,562.9898655616141,375.6000000000002,75.91962398749999,85.87405951653459,643.9822960500002,0.7123324000000001,14.333110999999999,298.25619,114.75483999999999,403.32143,0
2008,4005,218,494.0397430387167,2.815424495999998e-07,573.7404131530002,0,598.6449602792965,358.8499999999999,68.36837790729999,82.18672359673391,681.1585486999992,0.7638573000000001,22.418488999999997,457.40936000000005,172.98736,618.53868,0
2009,4005,218,467.5937425908105,50.60314707155109,544.1654252120007,0,574.5591272730258,394.3749999999999,87.0857351225001,91.99436060266126,648.3532128999996,0.7019581,14.971019999999998,296.61719,111.63864000000001,401.10506,0
2010,4005,218,458.1171761932509,2.8751530199999945e-07,527.7727459759999,0,552.5915436406356,520.4000000000001,96.24624790199995,82.02111350666723,615.8519448300004,0.766423,12.453254,286.80732,107.32425,387.83952,0
2011,4005,218,437.56307741572545,18.90155831097633,500.022098631,0,528.179725766319,447.6249999999998,108.16580579310003,79.01889044936419,608.5043316800004,0.7313194000000001,11.597761,238.64603999999997,86.52003,322.71270000000004,0
2012,4005,218,444.7781418339459,71.33604293668083,505.6674357960002,0,550.6374055260131,606.2000000000005,130.2874117158,93.72346441540112,620.9186538000004,0.7072824000000001,12.135802000000002,295.15408,114.42504,399.12656999999996,0
2013,4005,218,424.10409282299474,61.305981096475264,501.6800062649997,0,508.72476559587335,337.35,59.69667439284998,74.62116385855815,593.5102078000004,0.6700599,9.999504000000002,237.91592,94.88916,321.72537,0
2014,4005,218,456.41651558605116,2.591990364999991e-07,539.893612522,0,567.5099532747442,470.7750000000001,93.16330498300003,89.67904760688273,661.2083727799998,0.6878474,21.414393000000004,418.05836000000005,160.07455,565.32571,0
2015,4005,218,365.65585027946764,59.88610088171661,439.6893385112001,0,456.39449892537056,429.24999999999994,90.08666712683001,81.37028771007526,545.6240722900002,0.565217,9.368359,174.48805,65.55152000000001,235.95407999999998,0
