Year,CroppingSyst_code,Crop_code,Act_Transp_mm,Baseflow,CropSyst_Pot_Transp_mm,Crop_Canopy_E_mm,ET_mm,PPT,Runoff,Soil_E_mm,VIC_PET_shortgrass_mm,Yield_kg_m2,irrig_evap_mm,irrig_netdemand_mm,irrig_runoff_mm,irrig_total_mm,water_stress_index
1980,4005,218,396.27827506411944,166.44796443559667,466.60383775100007,0,543.2131850967,813.849999999999,195.45063355549996,139.9550271743179,574.5294838,0.6356595,6.979881000000001,177.07526000000001,66.26988,239.45269000000002,0
1981,4005,218,395.5942240165694,174.67735650852788,464.9908943549999,0,507.6236953728034,863.65,225.83343478050008,108.58346260788457,566.0590258200001,0.6588046,3.446011,61.651819999999994,20.27946,83.3696,0
1982,4005,218,405.72440877299755,182.606888737,472.96396690200044,0,501.1667515865254,780.4249999999997,195.32056011065,86.10570944002014,572.9005204799998,0.6417753,9.336631,178.05781000000002,69.94081,240.78136,0
1983,4005,218,403.2946661525779,146.47125248576612,461.29733444599987,0,504.82240707992855,781.1749999999998,186.29454670499993,96.79276477878452,565.8812648139997,0.6449529,4.734981,116.67468,45.28638,157.77509,0
1984,4005,218,414.79952823886356,154.44817594500006,483.422155778,0,517.3694386724703,767.5000000000003,208.92841232529997,93.51717896974228,581.3820845700002,0.6841916,9.052731,174.22683999999998,62.036339999999996,235.60087,0
1985,4005,218,474.28432740580587,97.89732146972393,559.6033839069999,0,584.0185628019724,408.6499999999999,63.94986819199999,90.88979640794344,672.4384895000002,0.6577348000000001,18.8444346,353.4397,136.54429000000002,477.94414,0
1986,4005,218,402.02332206199173,79.40273788632756,460.608740076,0,504.9629453706876,610.5499999999996,152.96423387600004,89.41854472345896,591.0527895000001,0.5939493,13.521073000000001,234.58996000000002,89.97391,317.22781,0
1987,4005,218,393.79592353126503,69.15817458724983,447.8490158650001,0,505.60800837146337,441.6749999999998,97.17688361009999,99.41058095742189,590.2873090400003,0.5806904,12.401501000000001,296.62782,113.24382,401.11945000000003,0
1988,4005,218,417.8501602541025,59.099402033583864,480.4056507070002,0,508.1879931935663,617.8749999999995,143.08263851090007,79.20173784217015,595.6751527999995,0.679179,11.136092,236.12143,87.85125,319.29873,0
1989,4005,218,374.1295400586248,191.99150046295696,448.8593861000001,0,458.74683467198633,582.9499999999998,144.8578846591001,76.89355244627285,558.4303938900001,0.5886398,7.723742999999999,178.93979,66.16219,241.97401000000002,0
1990,4005,218,394.3513422792354,2.54586953999999e-07,469.60877314529995,0,519.2855885239733,489.15000000000043,94.21711175311002,115.97369888315285,587.7114950000001,0.6296178000000001,8.960552999999999,177.2625,67.39519,239.70587999999998,0
1991,4005,218,409.5334555379983,1.7492222531000001e-06,466.9178414700003,0,485.12978905474046,776.4749999999996,175.4374805741,73.43415834211918,564.4376453,0.6853233,2.162178,57.57526,18.727120000000003,77.85701,0
1992,4005,218,382.1266836579027,63.927183798869955,442.309288139,0,471.3287159717527,479.4,109.22555059329997,80.1534013736914,547.7823565000002,0.5727837,9.048628,178.49869,70.49214,241.37754999999999,0
1993,4005,218,364.63881528179667,81.54922939673251,408.504081288,0,472.64592364659404,632.0749999999999,141.12676304599995,102.07161242303083,544.4021706800002,0.553615,5.9354960000000005,119.71237,41.9208,161.88287,0
1994,4005,218,387.91083782455695,63.5737506456354,448.62185230709974,0,502.9086775625988,583.15,139.91749375380002,100.25930806219219,561.1699426799996,0.5981751999999999,14.738527000000001,296.57445,111.57089,401.04726,0
1995,4005,218,390.01971080268055,136.158780249,453.99078472818996,0,495.4172018995963,689.2250000000001,179.11952273599996,102.27933187016583,565.7942879981002,0.6276232,3.118148,58.19999,20.32414,78.70181,0
1996,4005,218,428.998024473884,57.71949787419066,501.7948978549997,0,534.3940811812349,679.4,151.49085129500003,95.21918945822836,616.1415309100004,0.6934585999999999,10.176867999999999,234.93032,92.03107,317.68807,0
